case_id,order,repository,ecosystem,predicted_strict_ready,reference_strict_ready,predicted_hard_finding_count,status,failure_reason,attempt_duration_seconds,installation_seconds,task_seconds,total_seconds_to_first_output,manual_command_steps,non_root_document_pages,workspace_bytes,strict_false_negative_completed,external_docs_supplemented,hard_findings_disproved_by_runtime_paths
D01-himap,1,GroupiSP/himap,Python/Cython CLI,False,True,0,SUCCESS,,69.115536521,41.721040461,27.104501057000007,69.115536521,6,0,769576886,True,False,False
D02-hlafreq,9,BarinthusBio/HLAfreq,Python library with external data service,False,True,0,SUCCESS,,36.956344623,29.498501141000013,7.121230648000008,36.956344623,6,0,686374996,True,False,False
D03-woodtapper,17,artefactory/woodtapper,Python/C++ library,True,True,0,FAILURE,Required step failed: install woodtapper,13.762615683999996,13.760872664000004,0,,5,0,23650843,False,False,False
D04-multimodars,21,yungselm/multimoda-rs,Rust-powered Python library,True,True,0,SUCCESS,,28.79206973,23.971249699000012,4.486841925999997,28.79206973,6,1,484324803,False,False,False
D05-cowfootr,22,juanmarcosmoreno-arch/cowfootR,R/C library,False,True,0,SUCCESS,,13.669591608000005,1.0064257189999921,12.371777831000003,13.669591608000005,3,0,10100893,True,False,False
D06-kigali,24,SchmidtDSE/kigali-sim,Java CLI and JavaScript editor,True,True,0,FAILURE,Required step failed: build Kigali Sim JavaScript editor,19.93259726299999,6.626181424999999,13.304832750999992,,6,1,176800170,False,False,False
D07-gapflow,26,hannes-holey/GaPFlow,Python/C++ scientific CLI,False,True,0,FAILURE,Required step failed: run GaPFlow minimal simulation,44.97620328099998,40.547969322999975,4.42640906699998,,7,0,1306538910,False,False,False
D08-sklearn-migrator,33,anvaldes/sklearn-migrator,Python library,False,True,3,FAILURE,Required step failed: run sklearn-migrator round trip,18.391763205999993,16.722365551000024,1.667894277000002,,6,0,292744852,False,False,False
D09-boost-geometry,34,boostorg/geometry,C++ header-only library,False,False,0,FAILURE,Required step failed: compile Boost.Geometry example,3.0048330409999977,1.509054127000006,1.4944124670000036,,4,2,32855041,False,False,False
D10-ecodive,37,cmmr/ecodive,R/C library,False,True,0,UNTESTABLE_HERE,Root README changed after acquisition; frozen task not executed.,1.9309430259999942,1.9302830699999873,0,,2,0,23772425,False,False,False
